Semester,Jenis,Program,Judul,Pembimbing
2023/2024-2,Skripsi,Teknik Elektro Paralel,Rancang Bangun Pengendali Berbasis Web Untuk Mesin Concrete 3D Printer 3-Axis Menggunakan Mikrokontroler ESP32,"Dr. Abdul Muis, ST. MEng."
2023/2024-2,Skripsi,Teknik Komputer Reguler,Integrasi dan Antarmuka Pemilahan dan Suplai Sampah Organik untuk Digitalisasi Sistem Penanganan Sampah Skala Urban Mikro di Lingkungan Kampus Universitas Indonesia,"Fransiskus Astha Ekadiyanto, S.T. M.Sc."
2023/2024-2,Skripsi,Teknik Komputer Reguler,Analisis dan Implementasi Teknik Gamifikasi dalam Peningkatan Partisipasi Pengguna pada Aplikasi Pendidikan Berbasis Komputer.,"Fransiskus Astha Ekadiyanto, S.T. M.Sc."
2023/2024-2,Skripsi,Teknik Komputer Reguler,Implementasi Intrusion Detection System (IDS) Menggunakan Zeek dan Suricata Melalui Securiy Onion Dashboard,"Yan Maraden, S.T., M.T., M.Sc."
2023/2024-2,Skripsi,Teknik Komputer Reguler,Deteksi Serangan DOS Pada CICIDS 2017 Menggunakan Machine Learning,"Yan Maraden, S.T., M.T., M.Sc."
2023/2024-2,Skripsi,Teknik Komputer Reguler,Penyederhanaan Desain Source Code Polymerase Chain Reaction (PCR) Portabel,"Muhammad Firdaus Syawaludin Lubis, S.T., MT., Ph.D."
2023/2024-2,Skripsi,Teknik Komputer Reguler,Analisis Perbandingan Cakupan Deteksi Wazuh Pada Sistem Operasi Windows 10 Yang Dilengkapi Sysmon Dan Powershell Script Block Logging Yang Divalidasi Menggunakan Framework Atomic Red Team,"Dr. Ir. Muhammad Salman, ST, MIT"
2023/2024-2,Skripsi,Teknik Komputer Reguler,Pengembangan Pengamanan Pertukaran Data pada Perangkat Internet of Things (IoT) Menggunakan Algoritma Advanced Encryption Standard (AES) dan Metode Shift Left Security,"Dr. Ir. Muhammad Salman, ST, MIT"
2023/2024-2,Skripsi,Teknik Elektro Reguler,Strategi Manajemen Energi Berbasis Model Predictive Control untuk Sumber Energi Baterai-Fuel Cell-Diesel pada Kereta Hibrid,"Dr. Ir. Aries Subiantoro, M. SEE"
2023/2024-2,Skripsi,Teknik Elektro Reguler,Analisis Plasma Activated Water (PAW) Hasil Produksi Sistem Plasma Generator Sederhana,"Tomy Abuzairi,"
2023/2024-2,Skripsi,Teknik Elektro Reguler,Doping Tipe-P pada Semikonduktor Silikon Tipe-N Menggunakan Metode Maskless Photolithography Berbasis Laser,"Prof. DR. Ir. Nji Raden Poespawati, MT., IPU."
2023/2024-2,Skripsi,Teknik Elektro Reguler,Rancang Bangun Antena Mikrostrip Patch Dual-Band Untuk Aplikasi Wi-Fi 6,"Prof. Dr. Ir. Eko Tjipto Rahardjo, MSc"
2023/2024-2,Skripsi,Teknik Komputer Reguler,Implementasi dan Analisis Kinerja Keamanan Jaringan Berbasis Intrusion Detection System (IDS) Terhadap Serangan Siber Pada Teknologi Komputasi Awan,"Dr. Ir. Muhammad Salman, ST, MIT"
2023/2024-2,Skripsi,Teknik Komputer Reguler,Analisis Deteksi Malware pada Aplikasi Berbasis Android Application Package (APK) dan IOS Appstore Package (IPA) Menggunakan Framework MobSF dengan Metode Hybrid,"Dr. Ir. Muhammad Salman, ST, MIT"
2023/2024-2,Skripsi,Teknik Komputer Reguler,Analisis Keamanan Web Application Sistem Pelacakan dan Pemantauan Aset dengan Pendekatan Uji Penetrasi menggunakan Kerangka Kerja OWASP,"Dr. Ir. Muhammad Salman, ST, MIT"
2023/2024-2,Skripsi,Teknik Elektro Paralel,Perancangan dan Realisasi Perangkat I-V Karakteristik Sel Surya Berbasis Mikrokontroler Arduino UNO ATMega328P,"Ir. Purnomo Sidi Priambodo, M.Sc., Ph.D."
2023/2024-2,Skripsi,Teknik Elektro Reguler,Rancang Bangun Sistem Pendinginan Suhu Air Berdaya Rendah pada Sistem Hidroponik Berbasis Mikrokontroler ESP32 dan Internet of Things,"Taufiq Alif Kurniawan, MSc.Eng"
2023/2024-2,Skripsi,Teknik Elektro Reguler,"Desain Power Amplifier Kelas E Pada Frekuensi 2,4 GHz Menggunakan Teknologi CMOS 90-nm untuk Komunikasi Nirkabel Jarak Pendek","Taufiq Alif Kurniawan, MSc.Eng"
2023/2024-2,Skripsi,Teknik Elektro Reguler,Strategi Manajemen Energi Kereta Hibrida berbasis Rule Based Pontryagin’s Minimum Principle Model Predictive Control,"Dr. Ir. Aries Subiantoro, M. SEE"
2023/2024-2,Skripsi,Teknik Komputer Reguler,Pengembangan Sistem Pembayaran Tagihan Listrik Elektronik Berbasis Teknologi Blockchain dengan Ethereum,"Prof. Dr. Ir. Riri Fitri Sari, MM. MSc."
2023/2024-2,Skripsi,Teknik Komputer Reguler,Deteksi Posisi Tubuh Dengan YOLO dan Tracking Anggota Tubuh Menggunakan Dua Kamera,"Yan Maraden, S.T., M.T., M.Sc."
2023/2024-2,Skripsi,Teknik Biomedik,Klasifikasi Carrier Talasemia Alfa Berdasarkan Hasil Complete Blood Count (CBC) dengan Pendekatan Algoritma Pembelajaran Mesin,"Mohammad Ikhsan,"
2023/2024-2,Skripsi,Teknik Elektro Paralel,Analisis Perbandingan Model RetinaNet dan Faster R-CNN Untuk Sistem Deteksi Bahasa Isyarat Indonesia,"Prof. Ir. Gunawan Wibisono, M.Sc., Ph.D"
2023/2024-2,Skripsi,Teknik Komputer Reguler,Analisis Implementasi Security Information and Event Management System (SIEM) Berbasis Wazuh pada Serangan Denial of Service (DoS),"Dr. Ir. Muhammad Salman, ST, MIT"
2023/2024-2,Skripsi,Teknik Biomedik,Biosensor Elektrokimia Molecularly Imprinted Polymer Berbasis Elektroda Grafit Pensil dengan Modifikasi Multi Walled Carbon Nanotube untuk Pendeteksian Prostate Specific Antigen,"Siti Fauziyah Rahman,"
2023/2024-2,Skripsi,Teknik Biomedik,Analisis Pengaruh Perbedaan Bentuk Femoral Stem Dengan Ketahanan Implan Pada Implan Total Hip Arthroplasty (THA) Menggunakan Metode Finite Element Analysis,"Mohammad Ikhsan,"
2023/2024-2,Skripsi,Teknik Elektro Reguler,Analisis Perencanaan Cakupan Dan Kapasitas Jaringan 5G Dengan Pendekatan Perhitungan Tekno Ekonomik (Studi Kasus: Kota Depok),"Prof. Ir. Gunawan Wibisono, M.Sc., Ph.D"
2023/2024-2,Skripsi,Teknik Komputer Reguler,Analisis Perbandingan Algoritma Klasifikasi Naive Bayes dan Support Vector Machine Dalam Efektifitas Pendeteksi Email Spam,"Dr. Ir. Muhammad Salman, ST, MIT"
2023/2024-2,Skripsi,Teknik Elektro Paralel,Analisa Long-Short Term Memory dan BERT Embeddings pada Klasifikasi Teks Data SMS Spam Berbahasa Indonesia,"Prof. Ir. Gunawan Wibisono, M.Sc., Ph.D"
2023/2024-2,Skripsi,Teknik Komputer Reguler,Analisis Dampak Metode Upscaling terhadap Performance dan Visual Fidelity dalam Video Game,"Yan Maraden, S.T., M.T., M.Sc."
2023/2024-2,Skripsi,Teknik Komputer Reguler,Pengembangan Model Klasifikasi Teks Berbasis Convolutional Neural Network dan BERT Language Model untuk Mendeteksi SQL Injection pada Apache Web Server,"I Gde Dharma Nugraha, S.T., M.T., Ph.D"
2023/2024-2,Skripsi,Teknik Elektro Reguler,Analisis Performa Motor BLDC Terhadap Pengaruh Besar Arus dan Penambahan Superkapasitor pada Simulator Sistem Propulsi Kendaraan Listrik,"Prof. Dr. Ir. Iwa Garniwa M. K., MT."
2023/2024-2,Skripsi,Teknik Komputer Reguler,"Deteksi Malware Melalui Pengolahan Gambar RGB Memory Dump dengan Metode HOG Descriptor, UMAP, dan Machine Learning","Yan Maraden, S.T., M.T., M.Sc."
2023/2024-2,Skripsi,Teknik Elektro Internasional,Rancang Bangun S-TRANSAURA-Kacamata Cerdas Interaktif untuk Penerjemahan Bahasa Isyarat Indonesia dan Pengenalan Ucapan Berbasis Deep Learning,"Dr. Ir. Dodi Sudiana, M.Eng."
2023/2024-2,Skripsi,Teknik Komputer Reguler,Perancangan dan Analisis Kerangka Acuan Kerja Penilaian Keamanan Pada Perangkat IoT,"Muhammad Firdaus Syawaludin Lubis, S.T., MT., Ph.D."
2023/2024-2,Skripsi,Teknik Elektro Reguler,Perbandingan Kondisi Output Baterai Lead-Acid Baru Dan Lama Ketika Diberikan Beban Yang Sama,"Ir. Purnomo Sidi Priambodo, M.Sc., Ph.D."
2023/2024-2,Skripsi,Teknik Komputer Reguler,Rancang Bangun Sistem Pendeteksi Plat Nomor Otomatis Berbasis Deep Learning Pada Perangkat Android,"Dr. Ir. Dodi Sudiana, M.Eng."
2023/2024-2,Skripsi,Teknik Biomedik,Rancang Bangun Modul Pengukuran Saturasi Oksigen dan Denyut Jantung Berbasis Mikrokontroler STM32 untuk Aplikasi Patient Monitor,"Dr. Basari, S.T., M.Eng."
2023/2024-2,Skripsi,Teknik Komputer Reguler,Pengembangan Metode Denoising Suara Manusia Berbasis Segmentasi Citra Spektogram Menggunakan Algoritma Deeplabv3+,"Dr. Eng. Mia Rizkinia, S.T, M.T."
2023/2024-2,Skripsi,Teknik Elektro Reguler,Pengembangan Perangkat Lunak Desktop dengan Pendekatan Event-Driven dan Penerapan Multithreading sebagai Antarmuka Sistem Diagnostik Kendaraan Listrik,"Prof. Dr. Ir. Feri Yusivar, M.Eng."
2023/2024-2,Skripsi,Teknik Komputer Reguler,Pengembangan Model Prediksi Arah Pukulan Bola Tenis Menggunakan LSTM Berdasarkan Estimasi Pose YOLOv8,"Dr. Eng. Mia Rizkinia, S.T, M.T."
2023/2024-2,Skripsi,Teknik Komputer Reguler,Rancang Bangun Sistem Pendeteksian dan Pengklasifikasian Tipe Mobil dan Plat Nomor Menggunakan YOLO-NAS dan EfficientNet,"Dr. Eng. Mia Rizkinia, S.T, M.T."
2023/2024-2,Skripsi,Teknik Elektro Reguler,Rancang Bangun Sistem Embedded Pengukuran Konsentrasi Hemoglobin Noninvasif dengan Metode Pembelajaran Mesin Berbasis Nvidia Jetson Nano,"Tomy Abuzairi,"
2023/2024-2,Skripsi,Teknik Elektro Reguler,Optimasi Perencanaan Pembangkit Listrik Tenaga Surya Atap dengan Konfigurasi On-Grid dan Off-Grid di Gedung MRPQ Universitas Indonesia,"Ismi Rosyiana Fitri, S.T., Ph.D."
2023/2024-2,Skripsi,Teknik Elektro Reguler,Simulasi Plts Atap pada Stasiun Pengisian Kendaraan Listrik Umum Sebagai Sumber Daya Sekunder Menggunakan Aplikasi Homer Grid,"Ismi Rosyiana Fitri, S.T., Ph.D."
2023/2024-2,Skripsi,Teknik Komputer Reguler,Perancangan Model Pengenalan Emosi dalam Percakapan Bahasa Indonesia Menggunakan Word Embedding dan Spektrum Suara pada Metode Machine Learning,"Dr. Prima Dewi Purnamasari, ST MT MSc"
2023/2024-2,Skripsi,Teknik Elektro Reguler,Rancang Bangun Sistem Charging Station Berbasis Algoritma DC Fast Charging Pada Kendaraan Listrik,"Prof. Dr. Ir. Feri Yusivar, M.Eng."
2023/2024-2,Skripsi,Teknik Elektro Reguler,Perancangan Permanent Magnet Synchronous Motor 60 KW dan Analisis Pengaruh Barrier pada Rotor Terhadap Performa Torsi Motor,"Prof. Dr. Ir. Feri Yusivar, M.Eng."
2023/2024-2,Skripsi,Teknik Elektro Reguler,Desain Adaptive H-infinity Filter untuk Estimasi State of Charge Baterai Lithium-Ion,"Dr. Ir. Aries Subiantoro, M. SEE"
2023/2024-2,Skripsi,Teknik Komputer Reguler,Perancangan Sistem Pendeteksian Aritmia Berdasarkan Gambar Hasil Tes Elektrokardiogram (EKG) Menggunakan YOLOv8 dan Deep Learning,"Dr. Prima Dewi Purnamasari, ST MT MSc"
2023/2024-2,Skripsi,Teknik Elektro Reguler,Integrasi Mikrokontroler PIC-IoT pada Alat Budidaya Jamur Berbasis Internet of Things untuk Meningkatkan Keamanan Transmisi Data,"Taufiq Alif Kurniawan, MSc.Eng"
2023/2024-2,Skripsi,Teknik Elektro Reguler,Optimasi Performa Model Penggabungan Multiple Instance Learning dan Semi Supervised Learning Pada Klasifikasi Kanker Prostat Menggunakan ProGleason-GAN,"Ajib Setyo Arifin, Ph.D."
2023/2024-2,Skripsi,Teknik Komputer Reguler,Pengembangan Model Deteksi Penyakit Kulit pada Hewan Peliharaan Menggunakan Teknik Image Processing dan Deep Learning,"Dr. Prima Dewi Purnamasari, ST MT MSc"
2023/2024-2,Skripsi,Teknik Elektro Internasional,Penyempurnaan Alogaritma Q-Learning untuk Resource Allocation menggunakan teknik Time-Division Duplexing untuk Jaringan 5G di Kota-Kota dengan Pola Grid,"Ajib Setyo Arifin, Ph.D."
2023/2024-2,Skripsi,Teknik Elektro Paralel,Rancang Bangun Sistem EV Charging Controller dengan Implementasi Protokol Charging SNI dan Protokol Komunikasi SAEJ-1939,"Prof. Dr. Ir. Feri Yusivar, M.Eng."
2023/2024-2,Skripsi,Teknik Elektro Reguler,Implementasi Algoritma Rotor Flux Oriented Control (RFOC) Berbasis Maximum Torque Per Ampere (MTPA) untuk Meningkatkan Efisiensi Pengoperasian Motor Induksi,"Prof. Dr. Ir. Feri Yusivar, M.Eng."
2023/2024-2,Skripsi,Teknik Elektro Paralel,Rancang Bangun Electric Vehicle Logger dengan Sistem Komunikasi CAN BUS,"Prof. Dr. Ir. Feri Yusivar, M.Eng."
2023/2024-2,Skripsi,Teknik Elektro Internasional,LoRa Performance Analysis as a Communication Medium for Smart meter Applications in Faculty of Engineering,"Dr.Ing Budi Sudiarto, ST., MT."
2023/2024-2,Skripsi,Teknik Elektro Reguler,Evaluasi Sistem Proteksi Petir Eksternal pada Bangunan Pusat Perbelanjaan Studi Kasus Citywalk Gajah Mada,"Aji Nur Widyanto, ST., MT."
2023/2024-2,Skripsi,Teknik Elektro Reguler,Perbandingan Turbin Angin Sumbu Vertikal dengan Turbin Angin Sumbu Horizontal dan Kemungkinan Penerapannya (Studi Kasus Kabupaten Sukabumi),"Prof. Dr. Ir. Rudy Setiabudy, DEA"
2023/2024-2,Skripsi,Teknik Elektro Reguler,Evaluasi Kualitas Daya Pada Studi Kasus Gedung Imeri Fakultas Kedokteran Universitas Indonesia Salemba,"Prof. Dr. Ir. Rudy Setiabudy, DEA"
2023/2024-2,Skripsi,Teknik Biomedik,Rancang Bangun Implan Spine Cage Transforaminal Lumbar Interbody Fusion dengan Kombinasi Bahan Titanium dan PEEK,"dr. Puspita Anggraini Katili, M.Sc., Ph.D."
2023/2024-2,Skripsi,Teknik Biomedik,Analisis Fisika Kimia Perancah Komposit PVA/PCL dengan Penambahan ZrO2 dan Pelapisan Gelatin untuk Rekayasa Jaringan Tulang,"dr. Puspita Anggraini Katili, M.Sc., Ph.D."
2023/2024-2,Skripsi,Teknik Biomedik,Pengaruh Penambahan Filler Zink Oksida (ZnO) terhadap Karakteristik Dental Resin Komposit dengan Filler Utama Silika,"Siti Fauziyah Rahman,"
2023/2024-2,Skripsi,Teknik Komputer Reguler,Pengembangan dan Evaluasi Model Predictive Maintenance berbasis LSTM Untuk Mesin Press Dengan Arsitektur Cloud Computing,"I Gde Dharma Nugraha, S.T., M.T., Ph.D"
2023/2024-2,Skripsi,Teknik Komputer Reguler,Rancang Bangun Sistem Klasifikasi Pesan Whatsapp Berbasis Algoritma Bi-LSTM Dengan Optimisasi Bayesian Untuk Deteksi Penipuan,"Dr. Eng. Mia Rizkinia, S.T, M.T."
2023/2024-2,Skripsi,Teknik Komputer Reguler,Pengembangan Sistem Penilaian Esai Otomatis (Simple-O) Bahasa Indonesia Menggunakan BERT (Bidirectional Encoder Representations from Transformers) dan Bi-LSTM (Bidirectional Long-Short Term Memory),"Prof. Dr. Ir. Anak Agung Putri Ratna, M.Eng"
2023/2024-2,Skripsi,Teknik Komputer Reguler,Pengembangan Sistem Analisis Sentimen Tentang Opini Pilpres Indonesia 2024 Pada Media Sosial Twitter Berbahasa Indonesia Menggunakan Algoritma Naïve Bayes,"Prof. Dr. Ir. Anak Agung Putri Ratna, M.Eng"
2023/2024-2,Skripsi,Teknik Biomedik,Fabrikasi dan Karakterisasi Mekanis Lumbar Interbody Fusion (LIF) Spine Cage Titanium Menggunakan Metode Manufaktur Selective Laser Melting (SLM),"dr. Puspita Anggraini Katili, M.Sc., Ph.D."
2023/2024-2,Skripsi,Teknik Biomedik,Decellularized Kulit Ikan King Kobia untuk Pengembangan Wound Dressing,"dr. Puspita Anggraini Katili, M.Sc., Ph.D."
2023/2024-2,Skripsi,Teknik Biomedik,Karakterisasi Fisika dan Kimia Hasil Degradasi Hidrogel PVA/Gelatin dengan Isian Propolis untuk Patch Jantung pada Terapi Infark Miokard,"dr. Puspita Anggraini Katili, M.Sc., Ph.D."
2023/2024-2,Skripsi,Teknik Biomedik,Pengaruh Penambahan Filler Zirkonium Oksida dan Zink Oksida terhadap Karakteristik Dental Resin Komposit dengan Filler Utama Silika,"Siti Fauziyah Rahman,"
2023/2024-2,Skripsi,Teknik Komputer Reguler,Rancang Bangun Model Prediksi Berat Ikan Pada Sistem CCTV Deteksi Ikan Menggunakan Algoritma Ensemble Learning,"Dr. Eng. Mia Rizkinia, S.T, M.T."
2023/2024-2,Skripsi,Teknik Komputer Reguler,Pengembangan dan Evaluasi Sistem Pendeteksian Serangan Siber Berbasis Autoencoder pada Intrusion Detection System (IDS),"I Gde Dharma Nugraha, S.T., M.T., Ph.D"
2023/2024-2,Skripsi,Teknik Komputer Reguler,Pengembangan Sistem Analisis Sentimen Masyarakat Menggunakan Model IndoBERT Untuk Pemilihan Calon Presiden Indonesia 2024 Melalui Media Sosial X,"Dr. Eng. Mia Rizkinia, S.T, M.T."
2023/2024-2,Skripsi,Teknik Elektro Internasional,Enhancing Exercise Performance And Engagement: A Development Of Gamified Exercise Assistant Web Application With The Use Of Tensorflow'S Posenet Pose Estimation Model For Accurate Pose Detection,"Muhammad Firdaus Syawaludin Lubis, S.T., MT., Ph.D."
2023/2024-2,Skripsi,Teknik Komputer Reguler,Pengembangan Chatbot Berbasis Komodo-7B dengan Low-Rank Adaptation dan Retrieval-Augmented Generation untuk Pemahaman dan Tanya Jawab pada Dokumen PDF Bahasa Indonesia,"Dr. Prima Dewi Purnamasari, ST MT MSc"
2023/2024-2,Skripsi,Teknik Elektro Paralel,Analisis Pengukuran Quality of Service Jaringan 4G dan 5G Telkomsel di Kota Bogor,"Prof. Dr. Ir. Muhamad Asvial, MEng."
2023/2024-2,Skripsi,Teknik Elektro Reguler,Simulasi dan Analisis Perbandingan Non-Isolated dan Isolated DC-DC Converter Menggunakan Software LTspice untuk Aplikasi Pengisi Daya Baterai Kendaraan Listrik,"Tomy Abuzairi,"
2023/2024-2,Skripsi,Teknik Elektro Paralel,"Analisis Perbandingan Metode Kompresi Video AV1 dan VVC dan Filtering Bilateral, Histogram Equalization, dan Laplacian pada Object Detection Lalu Lintas","Prof. Dr. Ir. Muhamad Asvial, MEng."
2023/2024-2,Skripsi,Teknik Elektro Paralel,Evaluasi Sistem Pencahayaan Di Bangunan Sekolah Studi Kasus SMAN 3 Depok,"Aji Nur Widyanto, ST., MT."
2023/2024-2,Skripsi,Teknik Komputer Reguler,Implementasi dan Analisis Sistem Pendeteksi Keaslian Suara Manusia Berbasis Convolutional Neural Networks (CNN),"I Gde Dharma Nugraha, S.T., M.T., Ph.D"
2023/2024-2,Skripsi,Teknik Elektro Internasional,Pengembangan dan Evaluasi Agen Virtual dengan Model Generasi Gestur Berbasis Aturan Sederhana,"Muhammad Firdaus Syawaludin Lubis, S.T., MT., Ph.D."
2023/2024-2,Skripsi,Teknik Komputer Reguler,Pengembangan dan Evaluasi Smart Environmental Monitoring System Berbasis LoRa dengan Algoritma Komunikasi Adaptive Data Rate dan Randomized Backoff,"I Gde Dharma Nugraha, S.T., M.T., Ph.D"
2023/2024-2,Skripsi,Teknik Elektro Paralel,Analisis dan Komparasi Model Threshold Pada Speech Denoising Menggunakan Transformasi Wavelet,"Prof Dr Ir Dadang Gunawan, M.Eng."
2023/2024-2,Skripsi,Teknik Elektro Reguler,Perancangan Sistem Monitoring Polutan Particulate Matter Berbasis Komunikasi LoRa 920 MHz dan Internet-of-Things (IoT) di Lingkungan Universitas Indonesia,"Prof Dr Ir Dadang Gunawan, M.Eng."
2023/2024-2,Skripsi,Teknik Elektro Paralel,Optimasi Efisiensi Energi dalam Skema Routing LoRaWAN dalam Internet of Things pada Distribusi Sensor Non-Homogen,"Ajib Setyo Arifin, Ph.D."
2023/2024-2,Skripsi,Teknik Elektro Internasional,Pemodelan Dinamik Underwater ROV Menggunakan LSTM Neural Network,"Dr. Abdul Halim, M.Eng."
2023/2024-2,Skripsi,Teknik Elektro Reguler,Deteksi Obyek Dalam Air dengan Cahaya Laser Semikonduktor Hijau Berbasis Internet of Things (IoT),"Prof.Dr.Ir. Retno Wigajatri Purnamaningsih, MT"
2023/2024-2,Skripsi,Teknik Elektro Reguler,Analisis Aliran Daya pada Sistem Distribusi Tiga Fase Tidak Seimbang menggunakan Metode Backward and Forward Sweep,"Faiz Husnayain, S.T., M.Sc., Ph.D."
2023/2024-2,Skripsi,Teknik Elektro Paralel,Penentuan Prioritas Pengisian Daya Kendaraan Listrik Dalam Keadaan Keterbatasan Listrik Dengan Algoritma Branch And Bound,"Naufan Raharya, S.T, M.T., Ph.D."
2023/2024-2,Skripsi,Teknik Elektro Reguler,"Rancang Bangun Antena Super-Wideband 0,4-34 GHz Sebagai Antena Penginderaan Frekuensi Pada Perangkat Software Defined Radio","Prof. Dr. Ir. Fitri Yuli Zulkifli, ST., MSc"
2023/2024-2,Skripsi,Teknik Elektro Reguler,"Rancang Bangun Antena Mikrostrip MIMO dengan Rectangular Frame Ground pada Frekuensi 0,7 GHz, 3,5 GHz, Dan 25 GHz untuk Jaringan 5G di Indonesia","Prof. Dr. Ir. Fitri Yuli Zulkifli, ST., MSc"
2023/2024-2,Skripsi,Teknik Elektro Reguler,Optimasi Profil Kecepatan Kereta Menggunakan Metode Multiobjective Teaching Learning Based Optimization,"Dr. Abdul Halim, M.Eng."
2023/2024-2,Skripsi,Teknik Biomedik,Rancang Bangun Perangkat Mikrofluida Isolasi Eksosom Pasien Kanker Kolorektal Menggunakan Metode Berbasis Filtrasi,"dr. Puspita Anggraini Katili, M.Sc., Ph.D."
2023/2024-2,Skripsi,Teknik Biomedik,Aplikasi Lab-On-Chip Berbasis Hidrodinamika Inertial Focusing dalam Isolasi Circulating Tumor Cells Kanker Kolorektal,"dr. Puspita Anggraini Katili, M.Sc., Ph.D."
2023/2024-2,Skripsi,Teknik Komputer Reguler,Kubernetes untuk Kontainerisasi User Plane Function pada Free5GCore,"Dr. Ruki Harwahyu, ST. MT. MSc."
2023/2024-2,Skripsi,Teknik Elektro Reguler,Analisis Pengendalian Baterai dengan Algoritma Simple Moving Average untuk Menghaluskan Daya Output Intermiten Pembangkit Listrik Tenaga Surya Fotovoltaik pada Konfigurasi Off-Grid,"Prof. Ir. Rinaldy Dalimi, M.Sc. Ph.D."
2023/2024-2,Skripsi,Teknik Komputer Reguler,Prediksi Posisi Relatif Indoor Interfering Access Point dengan Implementasi Denoising Autoencoder,"Dr. Prima Dewi Purnamasari, ST MT MSc"
2023/2024-2,Skripsi,Teknik Elektro Reguler,Sistem Pengenal Aksi Majemuk pada Video Thermal menggunakan Metode Spasio Temporal Berbasis Kerangka Manusia,"Prof. Dr. Benyamin Kusumo Putro, M. Eng"
2023/2024-2,Skripsi,Teknik Elektro Reguler,Sistem Pengenal Aksi Spatio-Temporal pada Video Multi-Objek dengan Dynamic Positioning Aerial Camera,"Prof. Dr. Benyamin Kusumo Putro, M. Eng"
2023/2024-2,Skripsi,Teknik Elektro Reguler,Pengembangan Metode 3D Convolutional Neural Network Pada Sistem Klasifikasi Makhluk Hidup Menggunakan Data Millimeter Wave Radar Sensor,"Prof. Dr. Benyamin Kusumo Putro, M. Eng"
2023/2024-2,Skripsi,Teknik Komputer Reguler,Penentuan Posisi Interfering WiFi Access Point di Dalam Ruangan dengan Implementasi Model Klasifikasi Pembelajaran Mesin,"Dr. Prima Dewi Purnamasari, ST MT MSc"
2023/2024-2,Skripsi,Teknik Komputer Reguler,"Klasifikasi Emosi Berbasis Teks Bahasa Indonesia dengan Perbandingan CNN, LSTM dan BERT","Dr. Prima Dewi Purnamasari, ST MT MSc"
2023/2024-2,Skripsi,Teknik Elektro Reguler,Pengendalian Posisi Sudut Pada Manuver Quadcopter UAV Menggunakan Pengendali Neural Network Berbasis Deep Learning,"Prof. Dr. Benyamin Kusumo Putro, M. Eng"
2023/2024-2,Skripsi,Teknik Elektro Paralel,Simulasi Load Frequency Control (LFC) Pada Microgrid Dengan Menggunakan Matlab Simulink,"Ismi Rosyiana Fitri, S.T., Ph.D."
2023/2024-2,Skripsi,Teknik Elektro Reguler,Pengembangan Model Deep Learning Neural Network Sebagai Control Mixer Pada Sistem Quadcopter,"Prof. Dr. Benyamin Kusumo Putro, M. Eng"
2023/2024-2,Skripsi,Teknik Komputer Reguler,Pengembangan Sistem Verifikasi Keaslian Tanda Tangan Menggunakan Analisis Time Series dan Siamese Recurrent Neural Network,"Dr. Prima Dewi Purnamasari, ST MT MSc"
2023/2024-2,Skripsi,Teknik Elektro Reguler,Analisis Perbandingan Nilai Indeks Keandalan Jaringan Distribusi pada GH0069 Menggunakan Metode RIA (Reliability Index Assessment),"Faiz Husnayain, S.T., M.Sc., Ph.D."
2023/2024-2,Skripsi,Teknik Biomedik,Perancangan Alat Ukur Konsentrasi Hemoglobin Portabel Non-Invasif Menggunakan Photoplethysmography Berbasis Machine Learning dan IoT,"Tomy Abuzairi,"
2023/2024-2,Skripsi,Teknik Biomedik,Rancang Bangun Divais Portabel Berbasis Transcutaneous Electrical Nerve Stimulation (TENS) untuk Mengurangi Dismenore Primer,"Dr. Basari, S.T., M.Eng."
2023/2024-2,Skripsi,Teknik Elektro Reguler,Rancang Bangun PH dan DO Meter Air Terintegrasi Berbasis LoRa dan IoT Untuk Aplikasi Mengukur Kualitas Air,"Tomy Abuzairi,"
2023/2024-2,Skripsi,Teknik Biomedik,Rancang Bangun Sistem Manajemen Baterai pada Ventilator,"Dr. Basari, S.T., M.Eng."
2023/2024-2,Skripsi,Teknik Elektro Paralel,Studi Deteksi dan Koordinasi Proteksi Gangguan Hubung Singkat Satu Fasa ke Tanah Melalui Pentanahan Efektif sesuai IEEE Std. 142-2007,"Ismi Rosyiana Fitri, S.T., Ph.D."
2023/2024-2,Skripsi,Teknik Elektro Reguler,Studi Penerapan Static Var Compensator untuk Meningkatkan Keandalan Electric Arc Furnace,"Dr.Ing Budi Sudiarto, ST., MT."
2023/2024-2,Skripsi,Teknik Elektro Reguler,Studi Penyetelan Rele Diferensial sebagai Proteksi Generator dalam Mitigasi Nuisance Trip Akibat Gangguan Eksternal,"Dr.Ing Budi Sudiarto, ST., MT."
2023/2024-2,Skripsi,Teknik Elektro Reguler,Optimasi Penempatan Kapasitor Bank Pada Sistem Distribusi Listrik Dengan Metode ACO (Ant Colony Optimization),"Ismi Rosyiana Fitri, S.T., Ph.D."
2023/2024-2,Skripsi,Teknik Elektro Reguler,Analisis Tekno-Ekonomi Pembangkitan Listrik Tenaga Surya (PLTS) Atap On-Grid DTE FTUI,"Ismi Rosyiana Fitri, S.T., Ph.D."
2023/2024-2,Skripsi,Teknik Elektro Reguler,Analisis Keandalan Distribusi Tenaga Listrik di GH0092 Mampang Baru dengan Metode Section Technique,"Ismi Rosyiana Fitri, S.T., Ph.D."
2023/2024-2,Skripsi,Teknik Elektro Reguler,Perancangan Interkoneksi Pembangkit Listrik Tenaga Surya Dengan Konfigurasi ON-GRID Yang Stabil Pada Jaringan Tegangan Menengah 20 KV Pada Suatu Wilayah X,"Ismi Rosyiana Fitri, S.T., Ph.D."
